country,num_marathons
Algeria,1
Antarctica,3
Antigua and Barbuda,1
Argentina,4
Armenia,1
Aruba,1
Australia,32
Austria,15
Azerbaijan,1
Bahamas,2
Bahrain,1
Barbados,1
Belarus,1
Belgium,18
Belize,2
Bermuda,1
Bhutan,1
Bolivia,2
Bosnia and Herzegovina,2
Botswana,2
Brazil,9
Bulgaria,6
Cambodia,4
Canada,64
Cayman Islands,2
Chile,4
China,34
Colombia,2
Congo,1
Cook Islands,1
Costa Rica,3
Croatia,11
Cuba,1
Curaçao,3
Cyprus,5
Czech Republic,8
Denmark,16
Dominican Republic,2
Ecuador,1
Egypt,4
Estonia,12
Ethiopia,1
Falkland Islands,1
Fiji,1
Finland,32
France,44
French Polynesia,1
Gabon,1
Gambia,3
Germany,144
Ghana,2
Greece,13
Greenland,1
Guam,1
Guernsey,1
Hong Kong,1
Hungary,3
Iceland,4
India,41
Indonesia,4
Iran,1
Ireland,20
Isle of Man,1
Israel,10
Italy,47
Jamaica,4
Japan,33
Jersey,1
Jordan,4
Kazakhstan,3
Kenya,7
Kuwait,1
Latvia,2
Lebanon,1
Liechtenstein,1
Lithuania,2
Luxembourg,1
Macao,1
Macedonia,2
Malawi,2
Malaysia,16
Maldives,4
Malta,1
Mauritius,1
Mexico,11
Montenegro,1
Morocco,9
Mozambique,1
Myanmar,2
Nepal,8
Netherlands,35
New Zealand,16
Nigeria,3
North Korea,1
Northern Mariana Islands,1
Norway,22
Oman,2
Panama,1
Paraguay,1
Peru,3
Philippines,2
Poland,12
Portugal,16
Puerto Rico,1
Qatar,1
Romania,9
Russia,10
Rwanda,1
Sao Tome and Principe,1
Saudi Arabia,1
Senegal,1
Serbia,3
Seychelles,1
Sierra Leone,1
Singapore,2
Slovakia,2
Slovenia,5
Somalia,1
South Africa,21
South Korea,8
Spain,33
Sri Lanka,1
Sweden,25
Switzerland,14
Taiwan,9
Tanzania,13
Thailand,23
Togo,4
Trinidad and Tobago,2
Tunisia,4
Turkey,6
Turks and Caicos Islands,1
Uganda,2
Ukraine,4
United Arab Emirates,5
United Kingdom,96
United States of America,457
Vietnam,23
Zambia,1
Zimbabwe,2
